id,nombre,ambito_gobierno,poder_gobierno,sistema3,entidad_nombre
770,SECRETARIA DE ENERGIA,Federal,Ejecutivo,false,Federación
771,SECRETARIA DE HACIENDA Y CREDITO PUBLICO,Federal,Ejecutivo,false,Federación
772,SECRETARIA DE MARINA,Federal,Ejecutivo,false,Federación
773,SECRETARIA DE MEDIO AMBIENTE Y RECURSOS NATURALES,Federal,Ejecutivo,false,Federación
774,SECRETARIA DE RELACIONES EXTERIORES,Federal,Ejecutivo,false,Federación
775,SECRETARIA DE TURISMO,Federal,Ejecutivo,false,Federación
776,SECRETARIA DE AGRICULTURA Y DESARROLLO RURAL,Federal,Ejecutivo,false,Federación
777,SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,Federal,Ejecutivo,false,Federación
778,SECRETARIA DE CULTURA,Federal,Ejecutivo,false,Federación
779,TRIBUNAL FEDERAL DE CONCILIACION Y ARBITRAJE,Federal,Ejecutivo,false,Federación
780,AUDITORIA SUPERIOR DE LA FEDERACION,Federal,Legislativo,false,Federación
781,CAMARA DE DIPUTADOS,Federal,Legislativo,false,Federación
782,CAMARA DE SENADORES,Federal,Legislativo,false,Federación
783,CONSEJO DE LA JUDICATURA FEDERAL,Federal,Judicial,false,Federación
784,TRIBUNAL ELECTORAL,Federal,Judicial,false,Federación
785,SEGURIDAD ALIMENTARIA MEXICANA,Federal,Ejecutivo,false,Federación
786,SEGUROS DE CREDITO A LA VIVIENDA SHF SA DE CV,Federal,Ejecutivo,false,Federación
787,SERVICIO DE ADMINISTRACION TRIBUTARIA,Federal,Ejecutivo,false,Federación
788,SERVICIO POSTAL MEXICANO,Federal,Ejecutivo,false,Federación
789,SERVICIOS AEROPORTUARIOS DE LA CIUDAD DE MEXICO SA DE CV,Federal,Ejecutivo,false,Federación
790,SERVICIOS DE ATENCION PSIQUIATRICA,Federal,Ejecutivo,false,Federación
791,SISTEMA NACIONAL PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,Federal,Ejecutivo,false,Federación
792,SOCIEDAD HIPOTECARIA FEDERAL SNC,Federal,Ejecutivo,false,Federación
793,TREN MAYA SA DE CV,Federal,Ejecutivo,false,Federación
794,SERVICIOS DE SALUD DEL INSTITUTO MEXICANO DEL SEGURO SOCIAL PARA EL BIENESTAR,Federal,Ejecutivo,false,Federación
795,FISCALIA GENERAL DE LA REPUBLICA,Federal,Autonomo,false,Federación
796,ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL PUERTO MADERO SA DE CV,Federal,Ejecutivo,false,Federación
797,AEROPUERTO INTERNACIONAL FELIPE ANGELES SA DE CV,Federal,Ejecutivo,false,Federación
798,AGENCIA DE SERVICIOS A LA COMERCIALIZACI�?�N Y DESARROLLO DE MERCADOS AGROPECUARIOS,Federal,Ejecutivo,false,Federación
799,ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL DOS BOCAS SA DE CV,Federal,Ejecutivo,false,Federación
800,ADMINISTRACION DEL SISTEMA PORTUARIO NACIONAL PUERTO VALLARTA SA DE CV,Federal,Ejecutivo,false,Federación
801,AUTORIDAD FEDERAL PARA EL DESARROLLO DE LAS ZONAS ECONOMICAS,Federal,Ejecutivo,false,Federación
802,BANCO NACIONAL DEL EJERCITO FUERZA AEREA Y ARMADA SNC,Federal,Ejecutivo,false,Federación
803,CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA BAJA CALIFORNIA,Federal,Ejecutivo,false,Federación
804,CENTRO DE INVESTIGACION Y ASISTENCIA EN TECNOLOGIA Y DISENO DEL ESTADO DE JALISCO AC,Federal,Ejecutivo,false,Federación
805,CENTRO DE INVESTIGACIONES BIOLOGICAS DEL NOROESTE SC,Federal,Ejecutivo,false,Federación
806,CENTRO NACIONAL DE PLANEACION ANALISIS E INFORMACION PARA EL COMBATE A LA DELINCUENCIA,Federal,Ejecutivo,false,Federación
807,COMISION FEDERAL DE ELECTRICIDAD,Federal,Ejecutivo,false,Federación
808,FERROCARRILES NACIONALES DE MEXICO,Federal,Ejecutivo,false,Federación
809,INSTITUTO MEXICANO DEL SEGURO SOCIAL,Federal,Ejecutivo,false,Federación
810,COLEGIO NACIONAL DE EDUCACION PROFESIONAL TECNICA,Federal,Ejecutivo,false,Federación
811,COMITE NACIONAL MIXTO DE PROTECCION AL SALARIO,Federal,Ejecutivo,false,Federación
812,CONSEJO NACIONAL DE HUMANIDADES CIENCIAS Y TECNOLOGIAS,Federal,Ejecutivo,false,Federación
813,CORPORACION DE SERVICIOS AL TURISTA ANGELES VERDES,Federal,Ejecutivo,false,Federación
814,FIDEICOMISO DE FORMACION Y CAPACITACION PARA EL PERSONAL DE LA MARINA MERCANTE NACIONAL,Federal,Ejecutivo,false,Federación
815,FONDO DE LA VIVIENDA DEL INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES,Federal,Ejecutivo,false,Federación
816,FONDO PARA EL DESARROLLO DE RECURSOS HUMANOS,Federal,Ejecutivo,false,Federación
817,INSTITUTO DE COMPETITIVIDAD TURISTICA,Federal,Ejecutivo,false,Federación
818,PEMEX FERTILIZANTES,Federal,Ejecutivo,false,Federación
819,PEMEX GAS Y PETROQUIMICA BASICA,Federal,Ejecutivo,false,Federación
820,PEMEX PETROQUIMICA,Federal,Ejecutivo,false,Federación
821,PEMEX REFINACION,Federal,Ejecutivo,false,Federación
822,PETROLEOS MEXICANOS CORPORATIVO,Federal,Ejecutivo,false,Federación
823,SECRETARIA DE INFRAESTRUCTURA COMUNICACIONES Y TRANSPORTES,Federal,Ejecutivo,false,Federación
824,SECRETARIA DE LA FUNCION PUBLICA,Federal,Ejecutivo,false,Federación
825,INSTITUTO NACIONAL DE ANTROPOLOGIA E HISTORIA,Federal,Ejecutivo,false,Federación
826,INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA AC,Federal,Ejecutivo,false,Federación
827,PRONOSTICOS PARA LA ASISTENCIA PUBLICA,Federal,Ejecutivo,false,Federación
828,POLICIA FEDERAL,Federal,Ejecutivo,false,Federación
829,PROCURADURIA FEDERAL DE PROTECCION AL AMBIENTE,Federal,Ejecutivo,false,Federación
830,SECRETARIA DE SEGURIDAD Y PROTECCION CIUDADANA,Federal,Ejecutivo,false,Federación
831,XE IPN CANAL 11,Federal,Ejecutivo,false,Federación
832,COORDINACION NACIONAL DE PROSPERA PROGRAMA DE INCLUSION SOCIAL,Federal,Ejecutivo,false,Federación
833,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,Federal,Ejecutivo,false,Federación
834,INSTITUTO NACIONAL DE CIENCIAS PENALES,Federal,Ejecutivo,false,Federación
835,LUZ Y FUERZA DEL CENTRO (LIQUIDACI�?³N),Federal,Ejecutivo,false,Federación
836,CONTRALORIA PODER JUDICIAL DEL ESTADO DE GUANAJUATO,Estatal,Judicial,true,Guanajuato
837,FISCALIA GENERAL DEL ESTADO DE GUANAJUATO.,Estatal,Autonomo,true,Guanajuato
838,PROCURADURIA DE LOS DERECHOS HUMANOS PARA EL ESTADO DE GUANAJUATO,Estatal,Autonomo,true,Guanajuato
839,CONGRESO DE GUANAJUATO,Estatal,Legislativo,true,Guanajuato
840,INSTITUTO DE ACCESO A LA INFORMACION PUBLICA DEL ESTADO DE GUANAJUATO,Estatal,Autonomo,true,Guanajuato
841,INSTITUTO ELECTORAL DEL ESTADO DE GUANAJUATO,Estatal,Autonomo,true,Guanajuato
842,TRIBUNAL ESTATAL ELECTORAL DE GUANAJUATO,Estatal,Autonomo,true,Guanajuato
843,SECRETARÍA DE LA HONESTIDAD,Estatal,Ejecutivo,true,Guanajuato
844,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION,Estatal,Ejecutivo,true,Guanajuato
845,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE GUANAJUATO,Estatal,Autonomo,true,Guanajuato
846,MUNICIPIO DE ABASOLO,Municipal,Municipal,,Guanajuato
847,MUNICIPIO DE ACáMBARO,Municipal,Municipal,,Guanajuato
848,MUNICIPIO DE SAN MIGUEL DE ALLENDE,Municipal,Municipal,,Guanajuato
849,MUNICIPIO DE APASEO EL ALTO,Municipal,Municipal,,Guanajuato
850,MUNICIPIO DE APASEO EL GRANDE,Municipal,Municipal,,Guanajuato
851,MUNICIPIO DE ATARJEA,Municipal,Municipal,,Guanajuato
852,MUNICIPIO DE CELAYA,Municipal,Municipal,,Guanajuato
853,MUNICIPIO DE CIUDAD MANUEL DOBLADO,Municipal,Municipal,,Guanajuato
854,MUNICIPIO DE COMONFORT,Municipal,Municipal,,Guanajuato
855,MUNICIPIO DE CORONEO,Municipal,Municipal,,Guanajuato
856,MUNICIPIO DE CORTAZAR,Municipal,Municipal,,Guanajuato
857,MUNICIPIO DE CUERáMARO,Municipal,Municipal,,Guanajuato
858,MUNICIPIO DE DOCTOR MORA,Municipal,Municipal,,Guanajuato
859,MUNICIPIO DE DOLORES HIDALGO CUNA DE LA INDEPENDENCIA NACIONAL,Municipal,Municipal,,Guanajuato
860,MUNICIPIO DE GUANAJUATO,Municipal,Municipal,,Guanajuato
861,MUNICIPIO DE HUANíMARO,Municipal,Municipal,,Guanajuato
862,MUNICIPIO DE IRAPUATO,Municipal,Municipal,,Guanajuato
863,MUNICIPIO DE JARAL DEL PROGRESO,Municipal,Municipal,,Guanajuato
864,MUNICIPIO DE JERéCUARO,Municipal,Municipal,,Guanajuato
865,MUNICIPIO DE LEóN DE LOS ALDAMA,Municipal,Municipal,,Guanajuato
866,MUNICIPIO DE MOROLEóN,Municipal,Municipal,,Guanajuato
867,MUNICIPIO DE OCAMPO,Municipal,Municipal,,Guanajuato
868,MUNICIPIO DE PéNJAMO,Municipal,Municipal,,Guanajuato
869,MUNICIPIO DE PUEBLO NUEVO,Municipal,Municipal,,Guanajuato
870,MUNICIPIO DE PURíSIMA DE BUSTOS,Municipal,Municipal,,Guanajuato
871,MUNICIPIO DE ROMITA,Municipal,Municipal,,Guanajuato
872,MUNICIPIO DE SALAMANCA,Municipal,Municipal,,Guanajuato
873,MUNICIPIO DE SALVATIERRA,Municipal,Municipal,,Guanajuato
874,MUNICIPIO DE SAN DIEGO DE LA UNIóN,Municipal,Municipal,,Guanajuato
875,MUNICIPIO DE SAN FELIPE,Municipal,Municipal,,Guanajuato
876,MUNICIPIO DE SAN FRANCISCO DEL RINCóN,Municipal,Municipal,,Guanajuato
877,MUNICIPIO DE SAN JOSé DE ITURBIDE,Municipal,Municipal,,Guanajuato
878,MUNICIPIO DE SAN LUIS DE LA PAZ,Municipal,Municipal,,Guanajuato
879,MUNICIPIO DE SANTA CATARINA,Municipal,Municipal,,Guanajuato
880,MUNICIPIO DE JUVENTINO ROSAS,Municipal,Municipal,,Guanajuato
881,MUNICIPIO DE SANTIAGO MARAVATíO,Municipal,Municipal,,Guanajuato
882,MUNICIPIO DE SILAO DE LA VICTORIA,Municipal,Municipal,,Guanajuato
883,MUNICIPIO DE TARANDACUAO,Municipal,Municipal,,Guanajuato
884,MUNICIPIO DE TARIMORO,Municipal,Municipal,,Guanajuato
885,MUNICIPIO DE TIERRA BLANCA,Municipal,Municipal,,Guanajuato
886,MUNICIPIO DE URIANGATO,Municipal,Municipal,,Guanajuato
887,MUNICIPIO DE VALLE DE SANTIAGO,Municipal,Municipal,,Guanajuato
888,MUNICIPIO DE VICTORIA,Municipal,Municipal,,Guanajuato
889,MUNICIPIO DE VILLAGRáN,Municipal,Municipal,,Guanajuato
890,MUNICIPIO DE XICHú,Municipal,Municipal,,Guanajuato
891,MUNICIPIO DE YURIRIA,Municipal,Municipal,,Guanajuato
892,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE GUERRERO,Estatal,Autonomo,true,Guerrero
893,CONTRALORIA GENERAL DE LA UNIVERSIDAD AUTONOMA DE GUERRERO,Estatal,Autonomo,false,Guerrero
894,CONTRALORIA INTERNA DE LA COMISION DE LOS DERECHOS HUMANOS DEL ESTADO DE GUERRERO,Estatal,Autonomo,false,Guerrero
895,TRIBUNAL ELECTORAL DEL ESTADO DE GUERRERO,Estatal,Autonomo,false,Guerrero
896,CENTRO DE CONCILIACION LABORAL,Estatal,Ejecutivo,false,Guerrero
897,AUDITORIA SUPERIOR DEL ESTADO DE GUERRERO,Estatal,Legislativo,true,Guerrero
898,COMISION DE AGUA POTABLE ALCANTARILLADO Y SANEAMIENTO DEL ESTADO DE GUERRERO,Estatal,Ejecutivo,false,Guerrero
899,COMISION DE INFRAESTRUCTURA CARRETERA Y AEROPORTUARIA DEL ESTADO DE GUERRERO,Estatal,Ejecutivo,false,Guerrero
900,CONSEJERIA JURIDICA DEL PODER EJECUTIVO DEL ESTADO,Estatal,Ejecutivo,false,Guerrero
901,FISCALIA GENERAL DEL ESTADO DE GUERRERO,Estatal,Autonomo,true,Guerrero
902,SECRETARIA DE DESARROLLO URBANO OBRAS PUBLICAS Y ORDENAMIENTO TERRITORIAL,Estatal,Ejecutivo,false,Guerrero
903,SECRETARIA DE EDUCACION GUERRERO,Estatal,Ejecutivo,false,Guerrero
904,SECRETARIA DE FINANZAS Y ADMINISTRACION,Estatal,Ejecutivo,false,Guerrero
905,SECRETARIA DE PLANEACION Y DESARROLLO REGIONAL,Estatal,Ejecutivo,false,Guerrero
906,SECRETARIA DE PROTECCION CIVIL,Estatal,Ejecutivo,false,Guerrero
907,SECRETARIA DE SALUD,Estatal,Ejecutivo,false,Guerrero
908,SECRETARIA DE SEGURIDAD PUBLICA,Estatal,Ejecutivo,false,Guerrero
909,SECRETARIA DEL TRABAJO Y PREVISION SOCIAL,Estatal,Ejecutivo,false,Guerrero
910,SECRETARIA EJECUTIVA DEL SISTEMA ESTATAL ANTICORRUPCION,Estatal,Ejecutivo,false,Guerrero
911,ACABUS,Estatal,Ejecutivo,false,Guerrero
912,COLEGIO DE BACHILLERES DEL ESTADO DE GUERRERO,Estatal,Ejecutivo,false,Guerrero
913,COLEGIO DE EDUCACION PROFESIONAL TECNICA DEL ESTADO DE GUERRERO,Estatal,Ejecutivo,false,Guerrero
914,CONGRESO DEL ESTADO DE GUERRERO,Estatal,Ejecutivo,false,Guerrero
915,INSTITUTO DE SEGURIDAD SOCIAL DE LOS SERVIDORES PUBLICOS DEL ESTADO DE GUERRERO,Estatal,Ejecutivo,false,Guerrero
916,INSTITUTO DE TRANSPARENCIA ACCESO A LA INFORMACION Y PROTECCION DE DATOS PERSONALES DEL ESTADO DE GUERRERO,Estatal,Autonomo,false,Guerrero
917,INSTITUTO ESTATAL DE CANCEROLOGIA,Estatal,Ejecutivo,false,Guerrero
918,PARQUE PAPAGAYO,Estatal,Ejecutivo,false,Guerrero
919,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA,Estatal,Ejecutivo,false,Guerrero
920,INSTITUTO ELECTORAL Y DE PARTICIPACION CIUDADANA DEL ESTADO DE GUERRERO,Estatal,Autonomo,true,Guerrero
921,MUNICIPIO DE ACAPULCO DE JUáREZ,Municipal,Municipal,,Guerrero
922,MUNICIPIO DE AHUACUOTZINGO,Municipal,Municipal,,Guerrero
923,MUNICIPIO DE AJUCHITLáN DEL PROGRESO,Municipal,Municipal,,Guerrero
924,MUNICIPIO DE ALCOZAUCA DE GUERRERO,Municipal,Municipal,,Guerrero
925,MUNICIPIO DE ALPOYECA,Municipal,Municipal,,Guerrero
926,MUNICIPIO DE CIUDAD APAXTLA DE CASTREJóN,Municipal,Municipal,,Guerrero
927,MUNICIPIO DE ARCELIA,Municipal,Municipal,,Guerrero
928,MUNICIPIO DE ATENANGO DEL RíO,Municipal,Municipal,,Guerrero
929,MUNICIPIO DE ATLAMAJALCINGO DEL MONTE,Municipal,Municipal,,Guerrero
930,MUNICIPIO DE ATLIXTAC,Municipal,Municipal,,Guerrero
931,MUNICIPIO DE ATOYAC DE ÁLVAREZ,Municipal,Municipal,,Guerrero
932,MUNICIPIO DE AYUTLA DE LOS LIBRES,Municipal,Municipal,,Guerrero
933,MUNICIPIO DE AZOYú,Municipal,Municipal,,Guerrero
934,MUNICIPIO DE SAN JERóNIMO DE JUáREZ,Municipal,Municipal,,Guerrero
935,MUNICIPIO DE BUENAVISTA DE CUéLLAR,Municipal,Municipal,,Guerrero
936,MUNICIPIO DE COAHUAYUTLA DE GUERRERO,Municipal,Municipal,,Guerrero
937,MUNICIPIO DE COCULA,Municipal,Municipal,,Guerrero
938,MUNICIPIO DE COPALA,Municipal,Municipal,,Guerrero
939,MUNICIPIO DE COPALILLO,Municipal,Municipal,,Guerrero
940,MUNICIPIO DE COPANATOYAC,Municipal,Municipal,,Guerrero
941,MUNICIPIO DE COYUCA DE BENíTEZ,Municipal,Municipal,,Guerrero
942,MUNICIPIO DE COYUCA DE CATALáN,Municipal,Municipal,,Guerrero
943,MUNICIPIO DE CUAJINICUILAPA,Municipal,Municipal,,Guerrero
944,MUNICIPIO DE CUALáC,Municipal,Municipal,,Guerrero
945,MUNICIPIO DE CUAUTEPEC,Municipal,Municipal,,Guerrero
946,MUNICIPIO DE CUETZALA DEL PROGRESO,Municipal,Municipal,,Guerrero
947,MUNICIPIO DE CUTZAMALA DE PINZóN,Municipal,Municipal,,Guerrero
948,MUNICIPIO DE CHILAPA DE ÁLVAREZ,Municipal,Municipal,,Guerrero
949,MUNICIPIO DE CHILPANCINGO DE LOS BRAVO,Municipal,Municipal,,Guerrero
950,MUNICIPIO DE CRUZ GRANDE,Municipal,Municipal,,Guerrero
951,MUNICIPIO DE ACAPETLAHUAYA,Municipal,Municipal,,Guerrero
952,MUNICIPIO DE TLACOTEPEC,Municipal,Municipal,,Guerrero
953,MUNICIPIO DE HUAMUXTITLáN,Municipal,Municipal,,Guerrero
954,MUNICIPIO DE CIUDAD DE HUITZUCO,Municipal,Municipal,,Guerrero
955,MUNICIPIO DE IGUALA DE LA INDEPENDENCIA,Municipal,Municipal,,Guerrero
956,MUNICIPIO DE IGUALAPA,Municipal,Municipal,,Guerrero
957,MUNICIPIO DE IXCATEOPAN DE CUAUHTéMOC,Municipal,Municipal,,Guerrero
958,MUNICIPIO DE ZIHUATANEJO,Municipal,Municipal,,Guerrero
959,MUNICIPIO DE TIERRA COLORADA,Municipal,Municipal,,Guerrero
960,MUNICIPIO DE CHICHIHUALCO,Municipal,Municipal,,Guerrero
961,MUNICIPIO DE MALINALTEPEC,Municipal,Municipal,,Guerrero
962,MUNICIPIO DE APANGO,Municipal,Municipal,,Guerrero
963,MUNICIPIO DE METLATóNOC,Municipal,Municipal,,Guerrero
964,MUNICIPIO DE MOCHITLáN,Municipal,Municipal,,Guerrero
965,MUNICIPIO DE OLINALá,Municipal,Municipal,,Guerrero
966,MUNICIPIO DE OMETEPEC,Municipal,Municipal,,Guerrero
967,MUNICIPIO DE IXCAPUZALCO,Municipal,Municipal,,Guerrero
968,MUNICIPIO DE PETATLáN,Municipal,Municipal,,Guerrero
969,MUNICIPIO DE PILCAYA,Municipal,Municipal,,Guerrero
970,MUNICIPIO DE CIUDAD ALTAMIRANO,Municipal,Municipal,,Guerrero
971,MUNICIPIO DE QUECHULTENANGO,Municipal,Municipal,,Guerrero
972,MUNICIPIO DE SAN LUIS ACATLáN,Municipal,Municipal,,Guerrero
973,MUNICIPIO DE SAN MARCOS,Municipal,Municipal,,Guerrero
974,MUNICIPIO DE SAN MIGUEL TOTOLAPAN,Municipal,Municipal,,Guerrero
975,MUNICIPIO DE TAXCO DE ALARCóN,Municipal,Municipal,,Guerrero
976,MUNICIPIO DE TECOANAPA,Municipal,Municipal,,Guerrero
977,MUNICIPIO DE TéCPAN DE GALEANA,Municipal,Municipal,,Guerrero
978,MUNICIPIO DE TELOLOAPAN,Municipal,Municipal,,Guerrero
979,MUNICIPIO DE TEPECOACUILCO DE TRUJANO,Municipal,Municipal,,Guerrero
980,MUNICIPIO DE TETIPAC,Municipal,Municipal,,Guerrero
981,MUNICIPIO DE TIXTLA DE GUERRERO,Municipal,Municipal,,Guerrero
982,MUNICIPIO DE TLACOACHISTLAHUACA,Municipal,Municipal,,Guerrero
983,MUNICIPIO DE TLACOAPA,Municipal,Municipal,,Guerrero
984,MUNICIPIO DE TLALCHAPA,Municipal,Municipal,,Guerrero
985,MUNICIPIO DE TLALIXTAQUILLA,Municipal,Municipal,,Guerrero
986,MUNICIPIO DE TLAPA DE COMONFORT,Municipal,Municipal,,Guerrero
987,MUNICIPIO DE TLAPEHUALA,Municipal,Municipal,,Guerrero
988,MUNICIPIO DE LA UNIóN,Municipal,Municipal,,Guerrero
989,MUNICIPIO DE XALPATLáHUAC,Municipal,Municipal,,Guerrero
990,MUNICIPIO DE XOCHIHUEHUETLáN,Municipal,Municipal,,Guerrero
991,MUNICIPIO DE XOCHISTLAHUACA,Municipal,Municipal,,Guerrero
992,MUNICIPIO DE ZAPOTITLáN TABLAS,Municipal,Municipal,,Guerrero
993,MUNICIPIO DE ZIRáNDARO DE LOS CHáVEZ,Municipal,Municipal,,Guerrero
994,MUNICIPIO DE ZITLALA,Municipal,Municipal,,Guerrero
995,MUNICIPIO DE ZUMPANGO DEL RíO,Municipal,Municipal,,Guerrero
996,MUNICIPIO DE ACATEPEC,Municipal,Municipal,,Guerrero
997,MUNICIPIO DE MARQUELIA,Municipal,Municipal,,Guerrero
998,MUNICIPIO DE COCHOAPA EL GRANDE,Municipal,Municipal,,Guerrero
999,MUNICIPIO DE HUEYCANTENANGO,Municipal,Municipal,,Guerrero
1000,MUNICIPIO DE JUCHITáN,Municipal,Municipal,,Guerrero
1001,MUNICIPIO DE ILIATENCO,Municipal,Municipal,,Guerrero
1002,MUNICIPIO DE LAS VIGAS,Municipal,Municipal,,Guerrero
1003,MUNICIPIO DE COAPINOLA,Municipal,Municipal,,Guerrero
1004,MUNICIPIO DE SANTA CRUZ DEL RINCóN,Municipal,Municipal,,Guerrero
1005,MUNICIPIO DE SAN NICOLáS,Municipal,Municipal,,Guerrero
1006,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE HIDALGO,Estatal,Judicial,false,Hidalgo
1007,CONTRALORIA GENERAL DEL PODER JUDICIAL DEL ESTADO DE HIDALGO,Estatal,Judicial,false,Hidalgo
1008,COMISION DE DERECHOS HUMANOS DEL ESTADO DE HIDALGO,Estatal,Autonomo,false,Hidalgo
1009,INSTITUTO DE TRANSPARENCIA ACCESO A LA INFORMACIÓN PÚBLICA GUBERNAMENTAL Y PROTECCIÓN DE DATOS PERSONALES DEL ESTADO DE HIDALGO,Estatal,Autonomo,false,Hidalgo
1010,INSTITUTO ESTATAL ELECTORAL DE HIDALGO,Estatal,Autonomo,false,Hidalgo
1011,TRIBUNAL ELECTORAL DEL ESTADO DE HIDALGO,Estatal,Autonomo,false,Hidalgo
1012,MUNICIPIO DE ACATLáN,Municipal,Municipal,,Hidalgo
1013,MUNICIPIO DE ACAXOCHITLáN,Municipal,Municipal,,Hidalgo
1014,MUNICIPIO DE ACTOPAN,Municipal,Municipal,,Hidalgo
1015,MUNICIPIO DE AGUA BLANCA DE ITURBIDE,Municipal,Municipal,,Hidalgo
1016,MUNICIPIO DE AJACUBA,Municipal,Municipal,,Hidalgo
1017,MUNICIPIO DE ALFAJAYUCAN,Municipal,Municipal,,Hidalgo
1018,MUNICIPIO DE ALMOLOYA,Municipal,Municipal,,Hidalgo
1019,MUNICIPIO DE APAN,Municipal,Municipal,,Hidalgo
1020,MUNICIPIO DE EL ARENAL,Municipal,Municipal,,Hidalgo
1021,MUNICIPIO DE ATITALAQUIA,Municipal,Municipal,,Hidalgo
1022,MUNICIPIO DE ATLAPEXCO,Municipal,Municipal,,Hidalgo
1023,MUNICIPIO DE ATOTONILCO EL GRANDE,Municipal,Municipal,,Hidalgo
1024,MUNICIPIO DE ATOTONILCO DE TULA,Municipal,Municipal,,Hidalgo
1025,MUNICIPIO DE CALNALI,Municipal,Municipal,,Hidalgo
1026,MUNICIPIO DE CARDONAL,Municipal,Municipal,,Hidalgo
1027,MUNICIPIO DE CUAUTEPEC,Municipal,Municipal,,Hidalgo
1028,MUNICIPIO DE CHAPANTONGO,Municipal,Municipal,,Hidalgo
1029,MUNICIPIO DE CHAPULHUACáN,Municipal,Municipal,,Hidalgo
1030,MUNICIPIO DE CHILCUAUTLA,Municipal,Municipal,,Hidalgo
1031,MUNICIPIO DE ELOXOCHITLáN,Municipal,Municipal,,Hidalgo
1032,MUNICIPIO DE EMILIANO ZAPATA,Municipal,Municipal,,Hidalgo
1033,MUNICIPIO DE EPAZOYUCAN,Municipal,Municipal,,Hidalgo
1034,MUNICIPIO DE TEPATEPEC,Municipal,Municipal,,Hidalgo
1035,MUNICIPIO DE HUASCA DE OCAMPO,Municipal,Municipal,,Hidalgo
1036,MUNICIPIO DE HUAUTLA,Municipal,Municipal,,Hidalgo
1037,MUNICIPIO DE HUAZALINGO,Municipal,Municipal,,Hidalgo
1038,MUNICIPIO DE HUEHUETLA,Municipal,Municipal,,Hidalgo
1039,MUNICIPIO DE HUEJUTLA DE REYES,Municipal,Municipal,,Hidalgo
1040,MUNICIPIO DE HUICHAPAN,Municipal,Municipal,,Hidalgo
1041,MUNICIPIO DE IXMIQUILPAN,Municipal,Municipal,,Hidalgo
1042,MUNICIPIO DE JACALA,Municipal,Municipal,,Hidalgo
1043,MUNICIPIO DE JALTOCáN,Municipal,Municipal,,Hidalgo
1044,MUNICIPIO DE JUáREZ HIDALGO,Municipal,Municipal,,Hidalgo
1045,MUNICIPIO DE LOLOTLA,Municipal,Municipal,,Hidalgo
1046,MUNICIPIO DE METEPEC,Municipal,Municipal,,Hidalgo
1047,MUNICIPIO DE SAN AGUSTíN METZQUITITLáN,Municipal,Municipal,,Hidalgo
1048,MUNICIPIO DE METZTITLáN,Municipal,Municipal,,Hidalgo
1049,MUNICIPIO DE MINERAL DEL CHICO,Municipal,Municipal,,Hidalgo
1050,MUNICIPIO DE MINERAL DEL MONTE,Municipal,Municipal,,Hidalgo
1051,MUNICIPIO DE LA MISIóN,Municipal,Municipal,,Hidalgo
1052,MUNICIPIO DE MIXQUIAHUALA DE JUáREZ,Municipal,Municipal,,Hidalgo
1053,MUNICIPIO DE MOLANGO DE ESCAMILLA,Municipal,Municipal,,Hidalgo
1054,MUNICIPIO DE NICOLáS FLORES,Municipal,Municipal,,Hidalgo
1055,MUNICIPIO DE NOPALA DE VILLAGRáN,Municipal,Municipal,,Hidalgo
1056,MUNICIPIO DE OMITLáN DE JUáREZ,Municipal,Municipal,,Hidalgo
1057,MUNICIPIO DE SAN FELIPE ORIZATLáN,Municipal,Municipal,,Hidalgo
1058,MUNICIPIO DE PACULA,Municipal,Municipal,,Hidalgo
1059,MUNICIPIO DE PACHUCA DE SOTO,Municipal,Municipal,,Hidalgo
1060,MUNICIPIO DE PISAFLORES,Municipal,Municipal,,Hidalgo
1061,MUNICIPIO DE PROGRESO DE OBREGóN,Municipal,Municipal,,Hidalgo
1062,MUNICIPIO DE PACHUQUILLA,Municipal,Municipal,,Hidalgo
1063,MUNICIPIO DE SAN AGUSTíN TLAXIACA,Municipal,Municipal,,Hidalgo
1064,MUNICIPIO DE SAN BARTOLO TUTOTEPEC,Municipal,Municipal,,Hidalgo
1065,MUNICIPIO DE SAN SALVADOR,Municipal,Municipal,,Hidalgo
1066,MUNICIPIO DE SANTIAGO DE ANAYA,Municipal,Municipal,,Hidalgo
1067,MUNICIPIO DE SANTIAGO TULANTEPEC,Municipal,Municipal,,Hidalgo
1068,MUNICIPIO DE SINGUILUCAN,Municipal,Municipal,,Hidalgo
1069,MUNICIPIO DE TASQUILLO,Municipal,Municipal,,Hidalgo
1070,MUNICIPIO DE TECOZAUTLA,Municipal,Municipal,,Hidalgo
