id,nombre,ambito_gobierno,poder_gobierno,sistema3,entidad_nombre
53,MUNICIPIO DE SAN FRANCISCO DE LOS ROMO,Municipal,Municipal,,Aguascalientes
54,AUDITORIA SUPERIOR DEL ESTADO,Estatal,Legislativo,false,Baja California
55,TRIBUNAL ESTATAL DE JUSTICIA ADMINISTRATIVA DE BAJA CALIFORNIA,Estatal,Autonomo,false,Baja California
56,CONTRALORÍA CONSEJO DE LA JUDICATURA DEL ESTADO DE BAJA CALIFORNIA,Estatal,Judicial,false,Baja California
57,CONTRALORÍA INTERNA DEL CONGRESO DE BAJA CALIFORNIA,Estatal,Legislativo,false,Baja California
58,ADMINISTRADORA DE LA VÍA CORTA TIJUANA TECATE,Estatal,Ejecutivo,false,Baja California
59,COLEGIO DE BACHILLERES DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
60,COLEGIO DE ESTUDIOS CIENTÍFICOS Y TECNOLÓGICOS DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
61,COMISIÓN ESTATAL DE ENERGÍA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
62,COMISIÓN ESTATAL DE SERVICIOS PÊBLICOS DE ENSENADA,Estatal,Ejecutivo,false,Baja California
63,COMISIÓN ESTATAL DE SERVICIOS PÊBLICOS DE MEXICALI,Estatal,Ejecutivo,false,Baja California
64,COMISIÓN ESTATAL DE SERVICIOS PÊBLICOS DE TECATE,Estatal,Ejecutivo,false,Baja California
65,COMISIÓN ESTATAL DE SERVICIOS PÊBLICOS DE TIJUANA,Estatal,Ejecutivo,false,Baja California
66,COMISIÓN ESTATAL DEL AGUA DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
67,COMISIÓN ESTATAL DEL SISTEMA PENITENCIARIO,Estatal,Ejecutivo,false,Baja California
68,COMITÉ DE PLANEACIÓN PARA EL DESARROLLO DEL ESTADO,Estatal,Ejecutivo,false,Baja California
69,CONSEJERÍA JURÍDICA,Estatal,Ejecutivo,false,Baja California
70,FIDEICOMISO PÊBLICO DE ADMINISTRACIÓN DE FONDOS E INVERSIÓN DEL TRAMO CARRETERO CENTINELA RUMOROSA,Estatal,Ejecutivo,false,Baja California
71,INSTITUTO DE CULTURA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
72,INSTITUTO DE LA INFRAESTRUCTURA FÍSICA EDUCATIVA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
73,INSTITUTO DE LA JUVENTUD DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
74,INSTITUTO DE LA MUJER PARA EL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
75,INSTITUTO DE PSIQUIATRÍA DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
76,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL GOBIERNO Y MUNICIPIOS DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
77,INSTITUTO DE SERVICIOS DE SALUD PÊBLICA DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
78,INSTITUTO DE SERVICIOS EDUCATIVOS Y PEDAGÓGICOS DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
79,INSTITUTO DEL DEPORTE Y LA CULTURA FÍSICA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
80,INSTITUTO PARA EL DESARROLLO INMOBILIARIO Y DE LA VIVIENDA PARA EL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
81,JUNTA DE URBANIZACIÓN DEL ESTADO DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
82,COMISIÓN ESTATAL DE LOS DERECHOS HUMANOS DE BAJA CALIFORNIA,Estatal,Autonomo,false,Baja California
83,OFICIALÍA MAYOR DE GOBIERNO,Estatal,Ejecutivo,false,Baja California
84,SECRETARÍA DE BIENESTAR,Estatal,Ejecutivo,false,Baja California
85,SECRETARÍA DE CAMPO Y SEGURIDAD ALIMENTARIA,Estatal,Ejecutivo,false,Baja California
86,SECRETARÍA DE ECONOMÍA E INNOVACIÓN,Estatal,Ejecutivo,false,Baja California
87,SECRETARÍA DE HACIENDA DEL ESTADO,Estatal,Ejecutivo,false,Baja California
88,SECRETARÍA DE INFRAESTRUCTURA DESARROLLO URBANO Y REORDENACIÓN TERRITORIAL,Estatal,Ejecutivo,false,Baja California
89,SECRETARÍA DE MEDIO AMBIENTE Y DESARROLLO SUSTENTABLE,Estatal,Ejecutivo,false,Baja California
90,SECRETARÍA DE PESCA Y ACUACULTURA,Estatal,Ejecutivo,false,Baja California
91,SECRETARÍA DE SEGURIDAD CIUDADANA,Estatal,Ejecutivo,false,Baja California
92,SECRETARÍA DEL TRABAJO Y PREVISIÓN SOCIAL,Estatal,Ejecutivo,false,Baja California
93,SISTEMA PARA EL DESARROLLO INTEGRAL DE LA FAMILIA DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
94,UNIDAD DE ESPECIALIDADES MÉDICAS DE BAJA CALIFORNIA,Estatal,Ejecutivo,false,Baja California
95,INSTITUTO DE TRANSPARENCIA ACCESO A LA INFORMACIÓN PÊBLICA Y PROTECCIÓN DE DATOS PERSONALES DEL ESTADO DE BAJA CALIFORNIA,Estatal,Autonomo,false,Baja California
96,INSTITUTO ESTATAL ELECTORAL DE BAJA CALIFORNIA,Estatal,Autonomo,false,Baja California
97,TRIBUNAL DE JUSTICIA ELECTORAL DEL ESTADO DE BAJA CALIFORNIA,Estatal,Autonomo,false,Baja California
98,MUNICIPIO DE ENSENADA,Municipal,Municipal,,Baja California
99,MUNICIPIO DE MEXICALI,Municipal,Municipal,,Baja California
100,MUNICIPIO DE TECATE,Municipal,Municipal,,Baja California
101,MUNICIPIO DE TIJUANA,Municipal,Municipal,,Baja California
102,MUNICIPIO DE PLAYAS DE ROSARITO,Municipal,Municipal,,Baja California
103,MUNICIPIO DE SAN QUINTíN,Municipal,Municipal,,Baja California
104,MUNICIPIO DE SAN FELIPE,Municipal,Municipal,,Baja California
105,TRIBUNAL SUPERIOR DE JUSTICIA DEL ESTADO DE BAJA CALIFORNIA SUR,Estatal,Judicial,true,Baja California Sur
106,H. CONGRESO DEL ESTADO DE BAJA CALIFORNIA SUR,Estatal,Legislativo,true,Baja California Sur
107,CONTRALORÍA GENERAL DEL ESTADO DE BAJA CALIFORNIA SUR,Estatal,Ejecutivo,true,Baja California Sur
108,AUDITORIA SUPERIOR DEL ESTADO DE BAJA CALIFORNIA SUR,Estatal,Autonomo,true,Baja California Sur
109,COMISIÓN ESTATAL DE LOS DERECHOS HUMANOS DE BAJA CALIFORNIA SUR (CEDHBCS),Estatal,Autonomo,true,Baja California Sur
110,INSTITUTO DE TRANSPARENCIA Y ACCESO A LA INFORMACIÓN PÊBLICA Y PROTECCIÓN DE DATOS PERSONALES DEL ESTADO DE BAJA CALIFORNIA SUR,Estatal,Autonomo,true,Baja California Sur
111,INSTITUTO ESTATAL ELECTORAL DE BAJA CALIFORNIA SUR,Estatal,Autonomo,true,Baja California Sur
112,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DE BAJA CALIFORNIA SUR,Estatal,Autonomo,true,Baja California Sur
113,TRIBUNAL ESTATAL ELECTORAL DE BAJA CALIFORNIA SUR,Estatal,Autonomo,true,Baja California Sur
114,MUNICIPIO DE CIUDAD CONSTITUCIóN,Municipal,Municipal,,Baja California Sur
115,MUNICIPIO DE SANTA ROSALíA,Municipal,Municipal,,Baja California Sur
116,MUNICIPIO DE LA PAZ,Municipal,Municipal,,Baja California Sur
117,MUNICIPIO DE SAN JOSé DEL CABO,Municipal,Municipal,,Baja California Sur
118,MUNICIPIO DE LORETO,Municipal,Municipal,,Baja California Sur
119,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE CAMPECHE,Estatal,Autonomo,false,Campeche
120,CONTRALORIA DEL PODER JUDICIAL DEL ESTADO DEL CAMPECHE,Estatal,Judicial,false,Campeche
121,FIDEICOMISO FONDO CAMPECHE,Estatal,Ejecutivo,false,Campeche
122,AUDITORIA SUPERIOR DEL ESTADO DE CAMPECHE,Estatal,Ejecutivo,false,Campeche
123,COMISION DE DERECHOS HUMANOS DEL ESTADO DE CAMPECHE,Estatal,Autonomo,false,Campeche
124,CONSEJERIA JURIDICA,Estatal,Ejecutivo,false,Campeche
125,FISCALIA ESPECIALIZADA EN COMBATE A LA CORRUPCION DEL ESTADO DE CAMPECHE,Estatal,Autonomo,false,Campeche
126,FISCALIA GENERAL DEL ESTADO DE CAMPECHE,Estatal,Autonomo,true,Campeche
127,SECRETARIA DE BIENESTAR,Estatal,Ejecutivo,false,Campeche
128,SECRETARIA DE DESARROLLO AGROPECUARIO,Estatal,Ejecutivo,false,Campeche
129,SECRETARIA DE DESARROLLO ECONOMICO,Estatal,Ejecutivo,false,Campeche
130,SECRETARIA DE GOBIERNO,Estatal,Ejecutivo,false,Campeche
131,SECRETARIA DE INCLUSION,Estatal,Ejecutivo,false,Campeche
132,SECRETARIA DE LA CONTRALORIA,Estatal,Ejecutivo,false,Campeche
133,SECRETARIA DE MEDIO AMBIENTE BIODIVERSIDAD Y CAMBIO CLIMATICO,Estatal,Ejecutivo,false,Campeche
134,SECRETARIA DE PROTECCION CIVIL,Estatal,Ejecutivo,false,Campeche
135,SECRETARIA DE PROTECCION Y SEGURIDAD CIUDADANA,Estatal,Ejecutivo,false,Campeche
136,SECRETARIA DE TURISMO,Estatal,Ejecutivo,false,Campeche
137,FIDEICOMISO DE INVERSION DEL IMPUESTO DEL 2 SOBRE NOMINA,Estatal,Ejecutivo,false,Campeche
138,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO DE CAMPECHE,Estatal,Ejecutivo,false,Campeche
139,INSTITUTO DE SERVICIOS DESCENTRALIZADOS DE SALUD PUBLICA DEL ESTADO DE CAMPECHE,Estatal,Ejecutivo,false,Campeche
140,INSTITUTO ELECTORAL DEL ESTADO DE CAMPECHE,Estatal,Ejecutivo,false,Campeche
141,TRIBUNAL ELECTORAL DEL ESTADO DE CAMPECHE,Estatal,Autonomo,false,Campeche
